NOMBRE,DOMICILIO,LOCALIDAD,PROVINCIA,TELEFONO,EMAIL,SITIOWEB,TIPO,AUDIENCIA,ALCANCE,PAUTA,COMENTARIOS
Cadena 3 MDP,,,,,,http://www.cadena3.com/,Radio,,Mar del Plata,,
Cadena 3 Mendoza,,,,,,http://www.cadena3.com/,Radio,,Mendoza,,
Cadena 3 Neuquén,,,,,,http://www.cadena3.com/,Radio,,Neuquén,,
Cadena 3 Río Cuarto,,,,,,http://www.cadena3.com/,Radio,,Río Cuarto,,
Cadena 3 Río Gallegos,,,,,,http://www.cadena3.com/,Radio,,Río Gallegos,,
Cadena 3 San Juan,,,,,,http://www.cadena3.com/,Radio,,San Juan,,
Cadena 3 San Luis,,,,,,http://www.cadena3.com/,Radio,,San Luis,,
Cadena 3 Ushuaia,,,,,,http://www.cadena3.com/,Radio,,Ushuaia,,
Cadena Eco Porteña,,,,,,http://www.ecomedios.com/,Radio,,"CABA, GBA",,
CADENA3.COM,,,,0810-810-4444,,http://www.cadena3.com/,Portal,,Nacional,,
Canal (Á),"Cochabamba 1153, CABA",,,,,http://www.canalaonline.com/,TV Paga SD/HD,,,,
Canal 10 Córdoba,Miguel de Mojica 1600,,,4105000,,http://www.cba24n.com.ar/,Television,,Cordoba,"6,071,898.75",
Canal 10 de San Juan,,,,,,,,,,,
Canal 10 Junín,,,,,,,,,,,
Canal 10 Mar del Plata,"Independencia 1163, Mar del Plata",,,,,http://www.canal10mardelplata.tv/,TV Aire/TDT,,,"5,817,918.25",
Canal 10 Río Negro,"25 de Mayo 458, General Roca, Río Negro",,,298-4430505,comunicacion@canal10tv.com.ar,http://www.canal10tv.com.ar/,TV Aire/TDT,,,,
Canal 10 Tucumán,"Aconquija 729, Yerba Buena, Tucumán",,,,,http://canal10tucuman.com.ar/,TV Aire/TDT,,,,
Canal 11 de Bahía Blanca,,,,,,,,,,,
Canal 11 de Mendoza,,,,,,,,,,,
Canal 11 de San Luis,,,,,,,,,,,
Canal 11 del Partido de la Costa,,,,,,,,,,,
Canal 11 Salta,"España 475, Salta",,,,,http://telefe.com/canal11salta/,TV Aire,,Salta,"1,971,240.15",
Canal 12 de Bariloche,,,,,,,,,,,
Canal 12 de Mar del Plata,,,,,,,,,,,
Canal 12 de Neuquén,,,,,,,,,,,
Canal 12 de Trenque Lauquen,,,,,,,Television,,,,
Canal 12 de Tucumán,,,,,,,,,,,
Canal 12 El doce Córdoba,"Av. Fader 3469, Cerro Las Rosas, Córdoba",,,,,http://www.eldoce.tv/,TV Aire/TDT SD/HD,,Cordoba,"6,572,494.25",
Canal 13 de Junín,,,,,,,,,,,
Canal 13 de Rio Gallegos,,,,,,,,,,,
Canal 13 Santa Fé,"Blvd. Galvez 840, Santa Fe Argentina",,,,,http://telefe.com/canal13santafe/,,,Santa Fe,"2,869,459.41",
Canal 14,,,,,,,,,,,
Canal 14,,,,,,,,,,,
Canal 2,,,,,,,,,,,
Canal 2 (MDQ),"Av. Champagnat 2551, Mar del Plata",,,0223-478-4500,,http://www.canal2mdp.com.ar/,TV Aire – TV Paga,,Mar del Plata,,
Canal 2 BTC,,,,,,,,,,,
Canal 2 de San Rafael,,,,,,,,,,,
Canal 24 Horas,Honduras 5517,,,4103-1100,,https://foxplay.com,TV Paga,,Nacional,,
Canal 26,Av Brigadier J.M. de Rosas 2860,,,3977-3268,info@canal26.com.ar,http://www.26noticias.com.ar,Señal TDA 26.1/TV Paga SD/HD,,CABA / GBA,"8,913,657.60",
Canal 3 Rosario,,,,,,,Television,,Santa Fe,"8,424,671.00",
Canal 34 de Río Cuarto,,,,,,,,,,,
Canal 4,AV. OVIDIO LAGOS 502 – 2000 ROSARIO SANTA FE,,,(0341) 4368825,luciana.toloza@corp.express.com.ar,http://www.express.com.ar/rosario/Empresa/medios,,,"Rosario, Salta y Santiago del Estero",,"También estudios en Los Bardos 665, A4410CKA Grand Bourg, Salta y Av.BelgranoSur 623, SantiagodelEstero"
Canal 4 de Córdoba,,,,,,,,,,,
Canal 5 Rosario,"Av. Belgrano 1055, Rosario, Santa Fé",,,,,http://telefe.com/canal5rosario,TV Aire,,Santa Fe,"4,671,453.86",
Canal 6 El Seis Bariloche,"Ruta Nacional 237, Km. 1638, Bariloche, Río Negro",,,,,https://www.bariloche2000.com/,TV Aire/TDT SD,,,"1,112,631.00",
Canal 7 Bahía Blanca,"Blandengues 225, (8000) Bahía Blanca",,,0291 – 4550000,comercial@canalsiete.com.ar,http://www.canalsiete.com.ar/,TV Aire SD/HD,,Bahia Blanca,"2,163,863.00",
Canal 7 de Comodoro Rivadavia,,,,,,,,,,,
Canal 7 de La Rioja,,,,,,,,,,,
Canal 7 Jujuy,"Dr. Horacio Guzmán 496, Bº Mariano Moreno",,,(0388) 4230035,,comercial@radiovisionjujuy.com.ar,,,Jujuy,,
Canal 7 Neuquén,"Riavitz 7, Neuquén",,,,,http://telefe.com/canal7neuquen/,TV Aire,,Neuquen,"1,977,081.55","Pauta recibida para canal y web  (1700508.55+276573)"
Canal 7 Santiago del Estero,Andes 101 (Esq. Córdoba) (G4202BVC) - Santiago del Estero,,,385 421-1400,,http://www.canal7.tv/,Television,,,,
Canal 8 de La Pampa,,,,,,,,,,,
Canal 8 Mar del Plata,"Luro 2907, Mar del Plata",,,,,http://telefe.com/canal8mardelplata/,TV Aire,,Mar del Plata,"2,554,337.23",
Canal 8 San Juan,,,,,,,,,,,
Canal 8 Teleocho Córdoba,"Av. Vélez Sarsfield 4300, Córdoba",,,,,http://telefe.com/canal8cordoba,TV Aire,,Cordoba,"5,451,490.01",
Canal 8 Tucumán,"F. N. Laprida 130, San Miguel de Tucuman",,,,,http://telefe.com/canal8tucuman,TV Aire,,Tucuman,"1,874,381.81",
Canal 9,"Conde 50, CABA",,,3220-9999,mensajes@canal9.com.ar,http://www.elnueve.com.ar,Señal TDA 35.1/TV Aire SD/HD,250000,Todo el país,"29,154,970.00",
Canal 9 Bahía Blanca,"O`Higgins 267, Bahía Blanca",,,,,http://telefe.com/canal9bahiablanca/,TV Aire,,Bahía Blanca,"2,211,839.92",
Canal 9 Comodoro Rivadavia,"H. Yrigoyen 1535 y Rawson 1459, Cdoro Rivadavia, Chubut",,,,,http://www.elpatagonico.com/contenidos/canal-9.html,TV Aire,,,"57,295.22",
Canal 9 de Jujuy,,,,,,,,,,,
Canal 9 Imagen del Noroeste,"Av. Alvear 50, Resistencia, Chaco",,,,,http://www.diario21.tv/,TV Aire/TDT SD/HD,,,,
Canal 9 Interior,"Conde 50, CABA",,,,,http://www.elnueve.com.ar,TV Paga SD/HD,,,"1,629,525.00","Canal 9 Satelital"
Canal 9 Litoral,"25 de Mayo 276, Paraná, Entre Ríos",,,,,http://www.canal9litoral.tv/,TV Aire/TDT SD/HD,,,"4,795,134.50",
Canal 9 Mendoza Televida,"Garibaldi 185, Mendoza",,,,,https://www.elnueve.com/,TV Aire,,,"5,170,925.00",
Canal Deportivo,"Calle 48 1280, La Plata",,,,,,TV Paga,,La Plata,,
Canal Rural,"Honduras 5940, CABA",,,,,http://www.elrural.com/,TV Paga SD,,,"215,200.00",
Cancha Llena,"Av. Del Libertador 101, Vicente López",,,,,http://www.canchallena.com.ar,Portal,,Todo el país,,
Caras,"California 2715, CABA",,,,,http://caras.perfil.com/,Revista,,"CABA, GBA","1,058,841.60",
Caras y Caretas,"Venezuela 370 2do. Piso, CABA",,,,,http://www.carasycaretas.org.ar/,Revista,,"CABA, GBA",,
Carburando,"Tacuarí 1959, CABA",,,,,http://carburando.com/,Productora Audiovisual,,,,
Caro Cuore,,,,,,,,,,,
Caro Uomo,,,,,,,Marca de Indumentaria Femenina,,,,
CARSA,Rivadavia 835,,,,,,Gestión Empresarial,,,,
Cartoon Network,"Defensa 599 2ndo piso (1065), CABA",,,12 4318-3100,Carina.Risso@turner.com,http://www.cartoonnetwork.com.ar/,TV Paga,,Todo el país,,
Casa Viva,"Azopardo 565, CABA",,,,,https://www.casaviva.com.ar/,Revista,,,,
Casas y Pisos,,,,,,,,,,,
Casino del Mar,"Blv. Peralta Ramos 2650, Mar del Plata",,,,,,Sala de Juegos,,Mar del Plata,,
Casinos Del Sol,"Olaechea 451, Santiago del Estero",,,,,http://www.casinosdelsol.com.ar/,Casas de Juegos,,Santiago del Estero,,
Cba24N.com.ar,Miguel de Mojica 1600,,,4105000,,http://www.cba24n.com.ar/,Portal,,Nacional,,
Centro Cultural Caras y Caretas,"Sarmiento 2037, CABA",,,,,http://carasycaretas2037.com.ar/,Centro Cultural,,,,
CIMA,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Cinecanal,Honduras 5517,,,4103-1100,,https://foxplay.com,TV Paga,,Nacional,,
Cinemania (Argentina),Castillo 1366 Edificio 4,,,,,,Revista,,Discontinuado,,
Cinemax,,,,,,,TV Paga,,,,
Cintelba,"Av. Dr. Ricardo Balbín 3311, CABA",,,(11) 4545-4000,,,Venta de Electrodomésticos,,Nacional,,
Citybell Vive,"Diagonal 80 N° 815, La Plata",,,,,http://www.eldia.com/citybell/,Portal,,Discontinuado,,
Ciudad Magazine,"Cochabamba 1153, CABA",,,,,https://www.ciudad.com.ar/,TV Paga SD/HD,,,,
Ciudad X,"Av. La Voz del Interior 6020, Camino a Pajas Blancas, Córdoba",,,,,http://www.ciudadequis.com.ar/,Revista,,,,
Ciudad1.com,Costa Rica 5639,,,,,,Portal,,Discontinuado,,
Clarín,"Piedras 1743, CABA",,,,,https://www.clarin.com/,Diario,8.179.000 usuarios unicos,,"27,988,460.45",
Clarín WEBTV,,,,,,,,,Discontinuado,,
Clarín Zonales,,,,,,,,,Discontinuado,,
Clase Ejecutiva,Paseo Colón 746 - 1º (C1063ACU),,,(+54 11) 4121-9300/9344/9241,publicidad@cronista.com,,Portal,,Discontinuado,,
CLÁSICA,,,,,,http://www.radionacional.com.ar/nacional-clasica/,Radio,,Nacional,,
Clasificados Argentinos,,,,,,,,,Discontinuado,,
Clasificados del Campo,,,,,,,Suplemento,,,,
Clasificados.clarin.com,"Piedras 1743, CABA",,,,ceac@agea.com.ar,https://clasificados.clarin.com,Portal de Clasificados,,,,
Click Avisos,,,,,,,,,Discontinuado,,
Click On &#8211; Agrupate,"Bonpland 1953, CABA",,,,"sac@clickon.com.ar
serviciosalcliente@agrupate.com.ar","https://www.clickon.com.ar/
https://www.agrupate.com/",,,Todo el pais,,
Club bon Vivir,"Patagones 2847, CABA",,,5555-6937,,http://www.bonvivir.com/,Club de Beneficios,,Todo el pais,,
Club cupón,Colonia 170,,,,,http://www.clubcupon.com.ar/,Portal E-Commerce,,,,
Club LN,"Patagones 2847, CABA",,,5199-4700,,http://club.lanacion.com.ar/,Club de Beneficios,,"Capital Federal; Gran Buenos Aires, La Plata; Castelli; Chascomús; Lezama; Mercedes; Dolores; Lujan; Carlos Keen; Open Door; San Andrés de Giles; Carmen de Areco; 25 de Mayo; Mar del Plata; Rosario o Ciudad de Córdoba",,
CM &#8211; Canal de la Música,,,,,publicidad@cmtv.com.ar,http://www.cmtv.com.ar/,TV Paga,,,,
CMI Medios Regionales,Colonia 170,,,4943- 8700,info@cmimediosregionales.com.ar,http://www.cmimediosregionales.com.ar/,Editorial,,,,
CN23,"Olleros 3555, CABA",,,,,http://www.cn23.com/,TV Paga/TDT,,,"3,577,118.52",
CNN en Español,"Defensa 599 2ndo piso (1065), CABA",,,13 4318-3100,Carina.Risso@turner.com,http://cnnespanol.cnn.com/,TV Paga,,Todo el país,"2,899,683.00",
CNN Internacional,"Defensa 599 2ndo piso (1065), CABA",,,14 4318-3100,Carina.Risso@turner.com,https://edition.cnn.com/,TV Paga,,Todo el país,,
Cocina,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Cocina Light Del DR. Cormillot,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Comedy Central,"Fleming 1101, Martinez",,,,,http://www.comedycentral.la/,TV Paga SD/HD,,,,
Comintel,"J. M. Gorriti 158, Santiago del Estero",,,,,http://www.edese.com.ar/,Empresa de Construcción y Servicios,,Santiago del Estero,,
Como Estar Bien,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Condorito,"Azopardo 565, CABA",,,,,http://www.condorito.com/,Revista,,,,
Confronte,,,,,,,,,Discontinuado,,
Contenidos Mediterranos SA,"Av. La Voz del Interior 6020, Camino a Pajas Blancas, Córdoba",,,,,https://viapais.com.ar/cordoba/,Diario,,Cordoba,,
Continental,,,,,,,Radio,,,"6,956,731.05",
Continental Córdoba,"Dean Funés 266 2º, Córdoba",,,,,http://www.continentalcba.fm/,Radio,,Cordoba,,
Continental Mar del Plata,"H. Irigoyen 1525, Mar del Plata",,,,,http://www.continental.com.ar/,Radio,,Mar del Plata,,
Continental Río Cuarto,"Sarmiento 839 3°, Rosario",,,,,http://www.continental.com.ar/,Radio,,Rosario,,
Continental Rosario,,,,,,,Radio,,,,
Continental Salta,"Saavedra 3135, Santa Fé",,,,,http://www.continental.com.ar/,Radio,,Santa Fe,,
Continental Santa Fé,"Gral. Paz 576 9º, Tucumán",,,,,http://www.continental.com.ar/,,,Tucuman,,
Continental Tucumán,,,,,,,,,,,
Cosmo Style,"Azopardo 565, CABA",,,,,http://www.cosmoenespanol.com/,Revista,,,,
Cosmopolitan,"Azopardo 565, CABA",,,,,http://www.cosmoenespanol.com/,Revista,,,,
CPPP,"Mansilla 2668, CABA",,,,,,Comercialización de Espacio Publicitario,,,,
Crackle,,,,,,,,,,,
Cresa,"Lavalle 900 9º B, CABA",,,5631-1001,contacto@ecomedios.com,http://www.ecomedios.com/,,,,,
Crítica de la Argentina,Maipú 271,,,,,,Diario,,Discontinuado,,
Crochet &#8211; Moldes &#8211; Tejido,Magallanes 1346,,,,editor@magallanesmedia.com.ar,,Revista,,Discontinuado,,
Crónica,"Combate de los Pozos 639 y Av. Juan de Garay 130, CABA",,,5550-8600,cronicaweb@grupocronica.com.ar,https://www.cronica.com.ar/,Diario,,,"18,399,151.42",
Crónica Bahía Blanca,,,,,,,,,Discontinuado,,
Crónica de la Costa,,,,,,,,,Discontinuado,,
Crónica Mendoza,,,,,,,,,Discontinuado,,
Crónica Santa Fé,,,,,,,,,Discontinuado,,
Crónica TV,"Av. Juan de Garay 130, CABA",,,5296-7000,noticias@cronicatv.com.ar,https://www.cronicatv.com.ar/,Señal TDA 27.1/TV Paga SD/HD,,Todo el país,"14,104,646.00",
Croniquita,"Combate de los Pozos 639 y Av. Juan de Garay 130, CABA",,,5550-8600,cronicaweb@grupocronica.com.ar,,Suplemento,,,,
Cronista.com,Paseo Colón 746 - 1º (C1063ACU),,,(+54 11) 4121-9300/9344/9241,publicidad@cronista.com,www.cronista.com,Digital,Usuarios Únicos + de 3.000.000,Nacional,,
CTC &#8211; Cable Televisora Color SA,,,,,,,,,,,"Ver y ajustar info según https://seniales.blogspot.com.ar/2011/02/daniel-vila-sigifredo-alonso-y-ahora.html"
CTC Canal 3,,,,,,,,,,,
Cucinare,"Cochabamba 1153, CABA",,,,,http://www.cucinare.tv/,,,,,
Deautos.com,"Piedras 1743, CABA",,,,,http://www.deautos.com/,Portal de Clasificados,,,,
Del Ayer,,,,,,,,,,,
Del Siglo,,,,,,,,,,,
Democracia,"Combate de los Pozos 639, CABA",,,5550-8600,cronicaweb@grupocronica.com.ar,,Suplemento,,,,
Demotos.com,,,,,,,,,Discontinuado,,
DeporTV,,,,,,http://deportv.gov.ar/,Television,,,,
Diario 26,Suipacha 414 2do. Piso,,,3977-3268,contacto@diario26.com.ar,www.diario26.com,Portal,,CABA / GBA,"400,000.00",
Diario Crónica,,,,,,,,,DUPLICADO CON CRONICA,,
Diario de la Salud,Magallanes 1346,,,,editor@magallanesmedia.com.ar,http://www.diariodelasalud.com/,Periodico,,,,
